(Брест-Литовский мир, проводился в, Брест-Литовск)
(Вторжение в Бельгию, произошло в локации, Бельгия)

(Антверпен, расположена в стране, Бельгия)
(Бельгия, расположена в стране, Бельгия)
(Великобритания, враждовал с, Германия)
(Верден, расположена в стране, Франция)
(Динан, расположена в стране, Бельгия)
(Льеж, расположена в стране, Бельгия)
(Мобеж, расположена в стране, Франция)
(Мёз, река расположена в стране, Бельгия)
(Мёз, река расположена в стране, Франция)
(Намюр, расположена в стране, Бельгия)
(Россия, имело следствием, большевистская революция)
(Северная Франция, расположена в стране, Франция)
(Ставка, запросило, новые пишущие машинки)
(Ставка, отказало в, новые пишущие машинки)
(Туль, расположена в стране, Франция)
(Франция, враждовал с, Германия)
(Франция, разработала, новый метод ведения войны)
(Франция, союзник, Великобритания)
(Эдуард Грей, выступал в, палате общин)
(Эдуард Грей, назвал войну с, Германией)

(Германия, враждовал с, Бельгия)
(Германия, враждовал с, Россия)
(Германия, враждовал с, Франция)
(Германия, использовала технологию, легкие минометы)
(Германия, использовала технологию, тяжелая артиллерия)
(Германия, сторона конфликта, Первая мировая война)
(Льеж, расположена в стране, Бельгия)
(Россия, союзник, Бельгия)
(Россия, союзник, Великобритания)
(Россия, союзник, Франция)
(Россия, сторона конфликта, Первая мировая война)
(Франция, враждовал с, Германия)
(Франция, союзник, Бельгия)
(Франция, союзник, Великобритания)
(Франция, союзник, Россия)
(Франция, сторона конфликта, Первая мировая война)





(Александр Самсонов, командует армией, русская 2-я армия)
(Битва при Танненберге, имело следствием, поражение России)
(Битва при Танненберге, произошло в локации, Танненберг)
(Битва при Танненберге, сторона конфликта, Германия)
(Битва при Танненберге, сторона конфликта, Россия)
(Германия, использовала технологию, железная дорога)
(Германия, союзник, Австро-Венгрия)
(Железная дорога, дорога использовалась для, Битва при Танненберге)
(Максимилиан фон Притвиц, командует армией, немецкая 8-я армия)
(Наступление в Австро-Венгрии, план повлиял на страну, Австро-Венгрия)
(Пауль фон Гинденбург, командует армией, немецкая 8-я армия)
(Россия, враждовал с, Австро-Венгрия)
(Россия, враждовал с, Германия)
(Россия, потеряла территорию в пользу, Германия)
(Россия, реализовал план, наступление в Австро-Венгрии)
(Россия, союзник, Сербия)
(Россия, союзник, Франция)
(Франц Конрад фон Гетцендорф, командует армией, австро-венгерская армия)
(Эрих Людендорф, командует армией, немецкая 8-я армия)
(Эрих Людендорф, состоит в, немецкая армия)

(Австро-Венгрия, враждовал с, Германия)
(Австро-Венгрия, враждовал с, Россия)
(Австро-Венгрия, враждовал с, Сербия)
(Австро-Венгрия, использовала технологию, Железная_дорога)
(Австро-Венгрия, потеряла территорию в пользу, Германия)
(Австро-Венгрия, потеряла территорию в пользу, Россия)
(Австро-Венгрия, потеряла территорию в пользу, Сербия)
(Австро-Венгрия, союзник, Германия)
(Германия, враждовал с, Австро-Венгрия)
(Германия, использовала технологию, Железная_дорога)
(Германия, союзник, Австро-Венгрия)
(Гетцендоф, выгрузил эшелоны, Карпаты)
(Железная_дорога, дорога использовалась для, Военный_конфликт)
(Конрад, командовал, австро-венгерской армией)
(Потиорек, командовал, австро-венгерской армией)
(Россия, враждовал с, Австро-Венгрия)
(Россия, союзник, Сербия)
(Сербия, враждовал с, Австро-Венгрия)
(Сербия, разгромила, австро-венгерскую армию)
(Сербия, союзник, Россия)

(Австро-венгерская армия, армия принадлежит, Австро-Венгрия)
(Битва при Ипре, имело следствием, потери бельгийской армии)
(Битва при Ипре, имело следствием, потери британской армии)
(Битва при Ипре, имело следствием, потери германской армии)
(Битва при Ипре, произошло в локации, Ипр)
(Битва при Ипре, сторона конфликта, Бельгия)
(Битва при Ипре, сторона конфликта, Великобритания)
(Битва при Ипре, сторона конфликта, Германия)
(Западный фронт, использовала технологию, блиндажи)
(Западный фронт, использовала технологию, проволочные заграждения)
(Западный фронт, использовала технологию, траншеи)
(Западный фронт, сторона конфликта, Бельгия)
(Западный фронт, сторона конфликта, Великобритания)
(Западный фронт, сторона конфликта, Германия)
(Львов, расположена в стране, Австро-Венгрия)
(Россия, враждовал с, Австро-Венгрия)
(Россия, враждовал с, Германия)
(Россия, союзник, Великобритания)
(Русские войска, заняли, Львов)
(Эрих фон Фалькенгайн, состоит в, Прусская армия)







(Армяне, восстали в, Ван)
(Армяне, подверглись депортации, Турция)
(Армяне, этническая группа, Армения)
(Богос Нубар, отказался от поста в, турецкое правительство)
(Британская армия, армия принадлежит, Великобритания)
(Высадка в бухте Сувла, произошло в локации, бухта Сувла)
(Галлипольская кампания, имело следствием, поражение союзников)
(Галлипольская кампания, произошло в локации, Галлипольский полуостров)
(Галлипольская кампания, состоялось после, высадка в бухте Сувла)
(Галлипольская кампания, сторона конфликта, Великобритания)
(Галлипольская кампания, сторона конфликта, Турция)
(Кемаль Ататюрк, воевал против, Великобритания)
(Кемаль Ататюрк, командует армией, турецкая армия)
(Немецкая армия, армия принадлежит, Германия)
(Турецкая армия, армия принадлежит, Турция)
(Эрих фон Фалькенгайн, воевал против, Великобритания)
(Эрих фон Фалькенгайн, воевал против, Россия)
(Эрих фон Фалькенгайн, воевал против, Франция)
(Эрих фон Фалькенгайн, командует армией, немецкая армия)
(Ян Гамильтон, командует армией, британская армия)

(Битва при Ипре, использовала технологию, отравляющий газ)
(Битва при Ипре, сторона конфликта, Великобритания)
(Битва при Ипре, сторона конфликта, Германия)
(Битва при Ипре, сторона конфликта, Канада)
(Битва при Нев-Шапель, произошло в локации, Нев-Шапель)
(Битва при Нев-Шапель, сторона конфликта, Великобритания)
(Битва при Нев-Шапель, сторона конфликта, Германия)
(Битва при Нев-Шапель, часть, Первая мировая война)
(Британские экспедиционные силы, армия принадлежит, Великобритания)
(Британские экспедиционные силы, воевал против, Германия)
(Германия, враждовал с, Великобритания)
(Германия, враждовал с, Россия)
(Германия, враждовал с, Франция)
(Германия, использовала технологию, отравляющий газ)
(Первая мировая война, сторона конфликта, Великобритания)
(Первая мировая война, сторона конфликта, Германия)
(Фалькенгайн, воевал против, Великобритания)
(Фалькенгайн, воевал против, Россия)
(Фалькенгайн, воевал против, Франция)
(Фалькенгайн, командует армией, Германская армия)

(Австро-Венгрия, принесла в жертву, восемьсот тысяч человек)
(Армия, сосредоточилась в, Карпаты)
(Британцы, использовали, газ)
(Габсбургская империя, потеряла, пленных)
(Газ, использовался в, Лос)
(Георг фон дер Марвиц, командовал, Beskidenkorps)
(Георг фон дер Марвиц, ликвидировал угрозу, на Пасху)
(Гинденбург, стал, главнокомандующим на Востоке)
(Крепость Перемышль, осталась позади, при отступлении)
(Крепость Перемышль, пала, 1915-03-22)
(Лос, расположен в стране, Франция)
(Операция, получила название, Зимнее сражение в Мазурии)
(Сэр Джон Френч, заменен, сэром Дугласом Хейгом)
(Сэр Дуглас Хейг, пользовался благосклонностью, короля)
(Фалькенгайн, направил, четыре новых армейских корпуса)
(Французы, захватили, двести орудий)
(Французы, совершили прорыв, 1915-09-25)

(11-я армия, армия принадлежит, Август фон Макензен)
(11-я армия, армия принадлежит, Германия)
(Август фон Макензен, командует армией, 11-я армия)
(Австро-Венгрия, враждовал с, Италия)
(Италия, враждовал с, Австро-Венгрия)
(Италия, подписал договор, Лондонский договор)
(Италия, союзник, союзники)
(Лондонский договор, проводился в, Лондон)
(Россия, враждовал с, Австро-Венгрия)
(Россия, враждовал с, Германия)
(Россия, союзник, Италия)
(Россия, союзник, союзники)
(Фалькенгайн, командует армией, 11-я армия)

(Август фон Макензен, командует армией, Центральные державы)
(Австрийская 4-я армия, сторона конфликта, Центральные державы)
(Варшава, расположена в стране, Россия)
(Генерал Михаил Алексеев, командует армией, Россия)
(Германская 11-я армия, сторона конфликта, Центральные державы)
(Ковно, расположена в стране, Россия)
(Крепость Антверпен, расположена в стране, Бельгия)
(Крепость Новогеоргиевск, флот управляется, Россия)
(Львов, расположена в стране, Россия)
(Макс фон Гальвиц, командует армией, Центральные державы)
(Новогеоргиевск, расположена в стране, Россия)
(Перемышль, расположена в стране, Россия)
(Россия, потеряла территорию в пользу, Центральные державы)
(Русская 3-я армия, армия принадлежит, Россия)
(Фалькенгайн, встретился с, Ханс фон Зект)
(Фалькенгайн, участвовал в переговорах, Ярослав)
(Ханс фон Безелер, командует армией, Центральные державы)
(Ханс фон Зект, участвовал в переговорах, Ярослав)
(Центральные державы, враждовал с, Россия)
(Центральные державы, использовала технологию, тяжелая артиллерия)

(Болгария, враждовал с, Сербия)
(Болгария, союзник, Германия)
(Брест-Литовск, расположена в стране, Россия)
(Вильно, произошло в локации, Свенцянский прорыв)
(Вильно, расположена в стране, Литва)
(Вильно, расположена в стране, Россия)
(Германия, враждовал с, Россия)
(Германия, враждовал с, Сербия)
(Германия, союзник, Болгария)
(Людендорф, воевал против, Россия)
(Людендорф, командует армией, германская армия)
(Макензен, воевал против, Сербия)
(Макензен, командует армией, германская армия)
(Россия, враждовал с, Германия)
(Свенцянский прорыв, произошло в локации, Вильно)
(Сербия, враждовал с, Болгария)
(Сербия, враждовал с, Германия)
(Сербия, потеряла территорию в пользу, Болгария)
(Фалькенгайн, воевал против, Россия)
(Фалькенгайн, командует армией, германская армия)





(Британская армия, армия принадлежит, Великобритания)
(Британская армия, использовала технологию, Дальнобойные орудия)
(Британская армия, использовала технологию, Ползущий огневой вал)
(Британская армия, использовала технологию, Фугасные снаряды)
(Британская армия, использовала технологию, Шрапнель)
(Британская армия, участвовала в, Наступление на Сомме)
(Британский флот, флот участвовал в, Ютландское сражение)
(Германский флот, флот участвовал в, Ютландское сражение)
(Германское адмиралтейство, флот управляется, Германский флот)
(Джон Джеллико, командует армией, Британский флот)
(Дуглас Хейг, командует армией, Британская армия)
(Наступление на Сомме, произошло в локации, Сомма)
(Согласие о взаимодействии, часть, Наступление на Сомме)
(Сомма, расположена в стране, Франция)
(Франция, союзник, Великобритания)
(Французская армия, армия принадлежит, Франция)
(Французская армия, участвовала в, Наступление на Сомме)
(Шантийи, произошло в локации, Согласие о взаимодействии)
(Шантийи, расположена в стране, Франция)
(Ютландское сражение, произошло в локации, Северное море)

(А.А. Брусилов, воевал против, Австро-Венгрия)
(А.А. Брусилов, командует армией, Юго-Западный фронт)
(Артиллерия, армия принадлежит, Великобритания)
(Артиллерия, армия принадлежит, Германия)
(Артиллерия, армия принадлежит, Франция)
(Битва на Сомме, использовала технологию, танк)
(Битва на Сомме, произошло в локации, Сомма)
(Битва на Сомме, сторона конфликта, Великобритания)
(Битва на Сомме, сторона конфликта, Германия)
(Битва на Сомме, сторона конфликта, Франция)
(Великобритания, враждовал с, Австро-Венгрия)
(Великобритания, враждовал с, Германия)
(Герберт Джордж Уэллс, продвигал идею, танк)
(Дуглас Хейг, воевал против, Австро-Венгрия)
(Дуглас Хейг, воевал против, Германия)
(Дуглас Хейг, командует армией, британская армия)
(Танк, использовала технология, Великобритания)
(Танк, использовала технология, Германия)
(Франция, враждовал с, Австро-Венгрия)
(Франция, враждовал с, Германия)

(Австрийская 4-я армия, армия принадлежит, Австро-Венгрия)
(Австрийская 7-я армия, армия принадлежит, Австро-Венгрия)
(Австро-Венгрия, враждовал с, Россия)
(Австро-Венгрия, потеряла территорию в пользу, Россия)
(Австро-Венгрия, союзник, Германия)
(Алексей Брусилов, воевал против, Австро-Венгрия)
(Алексей Брусилов, командует армией, русская армия)
(Брусиловский прорыв, имело следствием, захват 350000 пленных)
(Брусиловский прорыв, произошло в локации, Восточный фронт)
(Брусиловский прорыв, часть, Первая мировая война)
(Германская армия, армия принадлежит, Германия)
(Гинденбург, командует армией, германская армия)
(Карл фон Пфланцер-Балтин, командует армией, австрийская 7-я армия)
(Людендорф, командует армией, германская армия)
(Первая мировая война, сторона конфликта, Австро-Венгрия)
(Первая мировая война, сторона конфликта, Россия)
(Русины, этническая группа, Австро-Венгрия)
(Русская армия, армия принадлежит, Россия)
(Чехи, этническая группа, Австро-Венгрия)
(Эрцгерцог Иосиф Фердинанд, командует армией, австрийская 4-я армия)

(9-я армия, армия принадлежит, Германия)
(Австрийские части, армия принадлежит, Австро-Венгрия)
(Брусилов, командует армией, Особая армия)
(Владимир Безобразов, командует армией, Особая армия)
(Германские войска, армия принадлежит, Германия)
(Дэвид Ллойд Джордж, продвигал идею, война до победного конца)
(Дэвид Ллойд Джордж, состоит в, Британское правительство)
(Особая армия, армия принадлежит, Россия)
(Румыния, союзник, Россия)
(Румынская армия, армия принадлежит, Румыния)
(Румынская армия, воевал против, Центральные державы)
(Русская конница, армия принадлежит, Россия)
(Сражение у Ковеля, произошло в локации, Ковель)
(Фалькенгайн, командует армией, 9-я армия)
(Франц Иосиф, Персона, Австро-Венгрия)
(Центральные державы, сторона конфликта, Австро-Венгрия)
(Центральные державы, сторона конфликта, Болгария)
(Центральные державы, сторона конфликта, Германия)
(Центральные державы, сторона конфликта, Османская империя)



(Вильсон, предоставил, безопасные каналы связи)
(Гентский университет, разрешено пользоваться, фламандским языком)
(Германия, объявила, зону поражения кораблей без предупреждения)
(Германия, объявила, неограниченную подводную войну)
(Германия, поощряла, фламандских сепаратистов)
(Германия, построила стоянку, Зеебрюгге)
(Германия, потопила, Лузитания)
(Германия, потопила, восемьсот восемьдесят одну тысячу тонн судов в апреле)
(Германия, потопила, пятьсот сорок тысяч тонн судов в феврале)
(Германия, потопила, триста шестьдесят восемь тысяч тонн судов в январе)
(Германия, располагала, ста пятью субмаринами)
(Германия, сражалась за, германскую Европу)
(Зеебрюгге, расположена в стране, Бельгия)
(Карл Хелфферих, сказал, адмирал сочиняет небылицы)
(Карл, возражал, против подводной войны)
(Людендорф, являлся, реальным хозяином Германии)
(Соединенные Штаты, выразили протест, Германия)
(Хеннинг фон Хольцендорф, заявил, о возможности топить шестьсот тысяч тонн судов в месяц)
(Хольцендорф, доказал, свою правоту)
(Центральные державы, объявили о готовности, вести переговоры о мире)



(Авиация, использовала технологию, аэрофотосъемка)
(Авиация, использовала технологию, огневые валы)
(Авиация, использовала технологию, однокрылые самолеты)
(Авиация, использовала технологию, танки)
(Британцы, сторона конфликта, Западный фронт)
(Британцы, участвовали в, наступление у Арраса)
(Западный фронт, часть, Военный_конфликт)
(Канадцы, участвовали в, взятие гряды Вими)
(Ллойд Джордж, состоит в, британское правительство)
(Немцы, сторона конфликта, Западный фронт)
(Нивель, командует армией, французская армия)
(Нивель, продвигал идею, тактика взаимодействия всех родов войск)
(Нивель, состоит в, Третья республика)
(Нивель, участвовал в переговорах, лондонские ленчи)
(Операция Альбрих, имело следствием, отвод немецких войск)
(Операция Альбрих, произошло в локации, Западный фронт)
(Сенегальцы, участвовали в, наступление на Шмен-де-Дам)
(Французы, сторона конфликта, Западный фронт)
(Французы, участвовали в, наступление на Шмен-де-Дам)
(Хейг, командует армией, британская армия)

(Временное правительство, проводилось в, Петроград)
(Государственная дума, миссия представляла, Россия)
(Государственная дума, миссия участвовала в, формирование Временного правительства)
(Николай II, воевал против, Германия)
(Николай II, подписал договор, отречение от престола)
(Николай II, состоит в, Российская империя)
(Россия, враждовал с, Германия)
(Россия, потеряла территорию в пользу, Германия)
(Россия, союзник, Великобритания)
(Россия, союзник, Франция)
(Русская армия, армия принадлежит, Россия)
(Русская армия, участвовала в, мятежи 1917 года)
(Русская революция, произошло в локации, Петроград)
(Совет, движение активно в, Россия)
(Филипп Петен, командует армией, французская армия)
(Филипп Петен, состоит в, французская армия)
(Франция, враждовал с, Германия)
(Франция, реализовал план, jusqu'au bout)
(Франция, союзник, Великобритания)
(Франция, союзник, Россия)

(Италия, враждовал с, Австро-Венгрия)
(Италия, союзник, Великобритания)
(Италия, союзник, США)
(Италия, союзник, Франция)
(Ленин, воевал против, Временное правительство)
(Ленин, возглавил делегацию, возвращение в Россию)
(Ленин, продвигал идею, большевики)
(Ленин, продвигал идею, земля крестьянам)
(Ленин, продвигал идею, мир народам)
(Ленин, продвигал идею, хлеб рабочим)
(Ленин, состоит в, большевики)
(Ленин, участвовал в переговорах, апрельские тезисы)
(Ленин, участвовал в переговорах, возвращение в Россию)
(Россия, враждовал с, Австро-Венгрия)
(Россия, враждовал с, Германия)
(Россия, враждовал с, Османская империя)
(Россия, союзник, Великобритания)
(Россия, союзник, Италия)
(Россия, союзник, США)
(Россия, союзник, Франция)

(Битва при Пашендейле, имело следствием, британские потери)
(Битва при Пашендейле, произошло в локации, Пашендаль)
(Битва при Пашендейле, сторона конфликта, Великобритания)
(Битва при Пашендейле, сторона конфликта, Германия)
(Битва при Пашендейле, часть, Третий Ипр)
(Британская армия, армия принадлежит, Великобритания)
(Герберт Пламер, воевал против, Германия)
(Герберт Пламер, командует армией, 2-я армия)
(Германская армия, армия принадлежит, Германия)
(Дуглас Хейг, воевал против, Германия)
(Дуглас Хейг, командует армией, Британская армия)
(Ипр, расположена в стране, Бельгия)
(Пашендаль, расположена в стране, Бельгия)
(Третий Ипр, имело следствием, британские потери)
(Третий Ипр, произошло в локации, Ипр)
(Третий Ипр, сторона конфликта, Великобритания)
(Третий Ипр, сторона конфликта, Германия)
(Фландрия, расположена в стране, Бельгия)
(Хьюберт Гоф, воевал против, Германия)
(Хьюберт Гоф, командует армией, 5-я армия)

(Битва при Камбре, имело следствием, захват пленных и орудий)
(Битва при Камбре, имело следствием, прорыв)
(Битва при Камбре, использовала технологию, артобстрел)
(Битва при Камбре, использовала технологию, аэрофотосъемка)
(Битва при Камбре, использовала технологию, воздушная поддержка)
(Битва при Камбре, использовала технологию, танки)
(Битва при Камбре, произошло в локации, Камбре)
(Битва при Камбре, сторона конфликта, Великобритания)
(Битва при Камбре, сторона конфликта, Германия)
(Брусилов, провел, прорыв)
(Гоф, командовал, солдатами)
(Немецкие артиллеристы, освоили, методы ведения огня)
(Немецкие артиллеристы, применяли, методы ведения огня)
(Пламер, командовал, войсками)
(Пламер, применил, ползущий огневой вал)
(Пламер, провел, три ограниченных сражения)
(Хейг, верил в, победу)
(Хейг, приказал, Пламеру продолжать наступление)

(14-я германская армия, армия принадлежит, Германия)
(Военный_конфликт, использовала технологию, полноприводные тягачи Порше)
(Военный_конфликт, сторона конфликта, Австро-Венгрия)
(Военный_конфликт, сторона конфликта, Германия)
(Военный_конфликт, сторона конфликта, Италия)
(Италия, враждовала с, Австро-Венгрия)
(Итальянская армия, армия принадлежит, Италия)
(Итальянская армия, воевала против, Австро-Венгрия)
(Луиджи Кадорна, командует армией, Итальянская армия)
(Немцы, применили, новые методы)
(Отто фон Белов, командует армией, 14-я германская армия)
(Событие, имело следствием, успех на плоскогорье Байнсицца)
(Событие, произошло в локации, Рига)
(Событие, произошло в локации, Удине)
(Событие, произошло в локации, плато Байнсицца)
(Событие, произошло в локации, река Изонцо)
(Событие, часть, контрудар при Камбре)
(Событие, часть, одиннадцатое сражение на Изонцо)
(Фердинанд Шернер, состоит в, 14-я германская армия)
(Эрвин Роммель, состоит в, 14-я германская армия)





(Большевики, возглавил делегацию, Брест-Литовск)
(Большевики, подписал договор, Брест-Литовск)
(Брест-Литовск, расположена в стране, Германия)
(Брест-Литовск, расположена в стране, Россия)
(Герман фон Эйхгорн, командует армией, Украина)
(Германия, враждовал с, Британия)
(Германия, враждовал с, Россия)
(Германия, враждовал с, Франция)
(Германия, заключил мир с, Грузия)
(Германия, заключил мир с, Россия)
(Германия, заключил мир с, Украина)
(Германия, заключил мир с, Финляндия)
(Германия, потеряла территорию в пользу, Британия)
(Германия, потеряла территорию в пользу, Франция)
(Германия, союзник, Австрия)
(Германская армия, армия принадлежит, Германия)
(Германская армия, использовала технологию, Программа Гинденбурга)
(Ллойд Джордж, продвигал идею, продолжение войны)
(Ллойд Джордж, состоит в, Британия)
(Отто фон Лоссов, командует армией, Грузия)

(Аррас, расположена в стране, Франция)
(Брест-Литовск, расположена в стране, Германия)
(Великобритания, сторона конфликта, Первая мировая война)
(Вильсон, выдвинул план, Четырнадцать пунктов)
(Георг фон де Марвиц, выиграл битву, под Камбре)
(Германия, враждовал с, Великобритания)
(Германия, враждовал с, Франция)
(Германия, использовала технологию, гранаты)
(Германия, использовала технологию, легкие пулеметы)
(Германия, сторона конфликта, Первая мировая война)
(Гитлер, получил награду, Железный крест)
(Гоф, командует армией, британская 5-я армия)
(Кюльман, сделал предложение, мирные инициативы)
(Ла-Манш, расположена в стране, Великобритания)
(Людендорф, сосредоточил силы, Северная Франция)
(Оскар фон Гутьер, выиграл битву, под Капоретто)
(Отто фон Белов, выиграл битву, под Ригой)
(Пашендаль, произошло в локации, Фландрия)
(Сен-Кантен, расположена в стране, Франция)
(Франция, сторона конфликта, Первая мировая война)

(Амьен, дорога использовалась для, Военный_конфликт)
(Амьен, расположена в стране, Франция)
(Бельгия, расположена в стране, Германия)
(Бинг, командует армией, британская 3-я армия)
(Британия, сторона конфликта, Военный_конфликт)
(Германия, использовала технологию, авиация)
(Германия, использовала технологию, артиллерия)
(Германия, использовала технологию, грузовики)
(Германия, использовала технологию, деревянные шины)
(Германия, использовала технологию, железные шины)
(Германия, использовала технологию, минометы)
(Германия, использовала технологию, раздражающий газ)
(Германия, использовала технологию, самолеты)
(Германия, использовала технологию, тяжелые орудия)
(Германия, сторона конфликта, Военный_конфликт)
(Гоф, командует армией, британская 5-я армия)
(Людендорф, воевал против, Британия)
(Людендорф, воевал против, Франция)
(Фош, командует армией, французская армия)
(Фош, состоит в, Организация)

(Битва у реки Лис, произошло в локации, река Лис)
(Битва у реки Лис, сторона конфликта, Германия)
(Битва у реки Лис, сторона конфликта, Союзники)
(Германия, враждовал с, Великобритания)
(Германия, враждовал с, Италия)
(Германия, враждовал с, Португалия)
(Германия, враждовал с, США)
(Германия, враждовал с, Союзники)
(Германия, враждовал с, Франция)
(Германия, использовала технологию, гаубица «Большая Берта»)
(Германия, союзник, Австро-Венгрия)

(Австралия, враждовал с, Германия)
(Великобритания, враждовал с, Германия)
(Великобритания, союзник, Австралия)
(Великобритания, союзник, Канада)
(Германия, имеет столицу, Берлин)
(Канада, враждовал с, Германия)
(Канада, союзник, Австралия)
(Людендорф, участвовал в, Марнское сражение)
(Марнское сражение, произошло в локации, Реймс)
(Марнское сражение, произошло в локации, Суассон)
(США, враждовал с, Германия)
(США, союзник, Австралия)
(США, союзник, Великобритания)
(США, союзник, Канада)
(Франция, враждовал с, Германия)
(Франция, имеет столицу, Париж)
(Франция, союзник, Австралия)
(Франция, союзник, Великобритания)
(Франция, союзник, Канада)
(Франция, союзник, США)



(Австрийские немцы, намеревались, присоединиться к Германии)
(Австро-венгерское правительство, приняло, Четырнадцать пунктов Вильсона)
(Болгария, запросила мира, 1918-09-28)
(Венгрия, провозгласила, независимость)
(Германия, контролировала, Турцию)
(Германия, контролировала, значительную территорию России)
(Германия, отправила, депешу в Соединенные Штаты)
(Итальянцы, провели, битву при Витторио-Венето)
(Князь Макс Баденский, вошел в кабинет, центристских левых партий)
