1. (Германия, подписала, договор)
(Британские экспедиционные силы, противостояли, германской армии)
(Россия, вторглась, Восточная Пруссия)
(Россия, мобилизовала, войска)
(Россия, воевала с, Германия)
(Франция, воевала с, Германия)
(Франция, поддержала, Россия)
(Франция, возлагала надежды на, победы русских)
(Франция, вложила деньги в, стратегические железные дороги)

(Александр Самсонов, командует, русской 2-й армией)  
(Максимилиан фон Притвиц, командовал, 8-й армией)  
(Пауль фон Гинденбург, командует, 8-й армией)  
(Эрих Людендорф, командовал, Пауль фон Гинденбург)  
(Эрих Людендорф, противостоял, Александр Самсонов)  
(Пауль фон Гинденбург, противостоял, Александр Самсонов)  
(Россия, воевала с, Германия)  
(Россия, воевала с, Австро-Венгрия)  
(Франц Конрад фон Гетцендорф, командует, Австро-Венгрия)  
(Россия, вступила в войну, 1914-08-01)  
(Германия, вступила в войну, 1914-08-01)  
(Австро-Венгрия, вступила в войну, 1914-08-01)

(Австро-Венгрия, воевала с, Сербия)  
(Австро-Венгрия, воевала с, Россия)  
(Конрад, командует, Австро-Венгрия)  
(Потиорек, командует, Австро-Венгрия)  
(Сербия, воевала с, Австро-Венгрия)  
(Россия, воевала с, Австро-Венгрия)  
(Немцы, воевала с, Россия)  
(Конрад, противостоял, Потиорек)  
(Австро-Венгрия, вступила в войну, 1914-08-21)

(Эрих фон Фалькенгайн, командует, Германия)  
(Россия, воевала с, Австро-Венгрия)  
(Россия, воевала с, Германия)  
(Россия, оккупировала, Австро-Венгрия)  
(Россия, вступила в войну, 1914-08-01)  
(Бельгия, воевала с, Германия)  
(Британия, воевала с, Германия)  
(Британия, воевала с, Австро-Венгрия)  
(Львов, место подписания, Лемберг)  
(Германия, воевала с, Британия)  
(Германия, воевала с, Бельгия)  
(Германия, воевала с, Россия)  
(Австро-Венгрия, воевала с, Россия)  
(Австро-Венгрия, воевала с, Британия)  
(Австро-Венгрия, воевала с, Бельгия)

(Россия, воевала с, Германия)  
(Россия, воевала с, Австро-Венгрия)  
(Эрцгерцог Фридрих, командует, Австро-Венгрия)  
(Людендорф, командует, Германия)  
(Энвер-паша, командует, Турция)  
(Энвер-паша, вторгся в, Россия)  
(Кемаль Ататюрк, противостоял, Энвер-паша)  
(Турция, воевала с, Россия)  
(Турция, заключила союз с, Германия)  
(Россия, вступила в войну, 1914-11)  
(Турция, вступила в войну, 1914-11)

(Черчилль, представляет, Британия)  
(Британия, воевала с, Германия)  
(Британия, блокировала, Германия)  
(Британия, вступила в войну, 1914-08-04)  
(Морис Хэнки, представляет, Британия)  
(Наполеон, противостоял, Британия)  
(Британия, воевала с, Франция)  
(Британия, заключила союз с, Испания)  
(Британия, заключила союз с, Португалия)  
(Германия, воевала с, Британия)  
(Германия, воевала с, Россия)  
(Германия, воевала с, Франция)  
(Германия, разорвала дипломатические отношения, Британия)  
(Германия, разорвала дипломатические отношения, Россия)  
(Германия, разорвала дипломатические отношения, Франция)

(Британия, выдавала кредиты, Италии)  
(Британия, выдавала кредиты, России)  
(Британия, предложила, России Константинополь)  
(Британия, планировала поделить, Османскую империю)  
(Османская армия, потерпела поражение, на Кавказе)  
(Британия, ввела, воинскую повинность)  
(Германия, помощь могла прийти, через Румынию)  
(Британия, вывозила, больше чем покупала)  
(Британия, имела линкоры, с 1906 года)  
(Британия, предложила, России Константинополь)  
(Британия, планировала поделить, Османскую империю)  
(Британия, предложила, России Константинополь)  
(Британия, планировала поделить, Османскую империю)  
(Британия, предложила, России Константинополь)  
(Британия, планировала поделить, Османскую империю)

(Руперт Брук, умер в, Египет)  
(Ян Гамильтон, командует, Великобритания)  
(Кемаль Ататюрк, командует, Турция)  
(Эрих фон Фалькенгайн, командует, Германия)  
(Эрих фон Фалькенгайн, противостоял, Мольтке)  
(Эрих фон Фалькенгайн, представляет, Германия)  
(Великобритания, воевала с, Турция)  
(Великобритания, воевала с, Германия)  
(Турция, воевала с, Великобритания)  
(Германия, воевала с, Великобритания)  
(Германия, заключила союз с, Австро-Венгрия)  
(Россия, разорвала дипломатические отношения, Германия)  
(Великобритания, оккупировала, Галлипольский полуостров)  
(Великобритания, подписала перемирие, Турция)  
(Россия, вступила в войну, 1914-08-01)

(Фалькенгайн, противостоял, Конрад)  
(Фалькенгайн, командует, Германия)  
(Германия, воевала с, Россия)  
(Германия, воевала с, Франция)  
(Германия, воевала с, Великобритания)  
(Германия, воевала с, Канада)  
(Фалькенгайн, предпринял, атака на Западе)  
(Фалькенгайн, предпринял, атака на Восточном фронте)  
(Германия, использовала, отравляющий газ)  
(Британские экспедиционные силы, предприняли, прорыв у Нев-Шапель)  
(Западные державы, предложили, Константинополь)  
(Фалькенгайн, понимал, тупик на Западе)  
(Германия, использовала, отравляющий газ на русском фронте)  
(Фалькенгайн, главной заботой стала, Россия)  
(Британские экспедиционные силы, предприняли, наступление в сентябре)

(Дуглас Хейг, командует, Великобритания)  
(Джон Френч, противостоял, Дуглас Хейг)  
(Гинденбург, командует, Германия)  
(Фалькенгайн, противостоял, Людендорф)  
(Георг фон дер Марвиц, командует, Германия)  
(Австро-Венгрия, воевала с, Россия)  
(Германия, воевала с, Россия)  
(Россия, оккупировала, Перемышль)  
(Россия, воевала с, Австро-Венгрия)  
(Россия, воевала с, Германия)

(Италия, подписала, Лондонский договор)  
(Италия, вступила в войну, 1915-05-23)  
(Фалькенгайн, разработал, план наступления в Карпатах)  
(Фалькенгайн, противостоял, Конрад)  
(Австро-Венгрия, воевала с, Россия)  
(Россия, воевала с, Германия)  
(Австро-Венгрия, воевала с, Италия)  
(Италия, заключила союз с, союзники)  
(Август фон Макензен, командует, 11-я армия)  
(Николай Иванов, командует, Юго-Западный фронт)

(Германия, воевала с, Россия)  
(Австро-Венгрия, воевала с, Россия)  
(Германия, оккупировала, Польша)  
(Австро-Венгрия, оккупировала, Польша)  
(Германия, оккупировала, Львов)  
(Германия, оккупировала, Варшава)  
(Германия, оккупировала, Ковно)  
(Германия, оккупировала, Новогеоргиевск)  
(Михаил Алексеев, командует, Юго-Западный фронт)  
(Ханс фон Зект, командует, 11-я армия)  
(Макс фон Гальвиц, командует, Северный фронт)  
(Август фон Макензен, командует, Южный фронт)  
(Ханс фон Безелер, командует, осадный поезд)  
(Россия, разорвала дипломатические отношения, Германия)  
(Россия, разорвала дипломатические отношения, Австро-Венгрия)

(Фалькенгайн, противостоял, Людендорф)
(Германия, оккупировала, Сербия)
(Болгария, оккупировала, Сербия)

