1. (Германия, заключила, Брест-Литовский договор)
6. (Франция, воевала с, Германия)
7. (Франция, воевала с, Германия)
8. (Франция, воевала с, Германия)
9. (Франция, воевала с, Германия)
10. (Франция, воевала с, Германия)
11. (Франция, воевала с, Германия)
12. (Франция, воевала с, Германия)
13. (Франция, воевала с, Германия)
14. (Франция, воевала с, Германия)
15. (Франция, воевала с, Германия)

1. (Германия, оккупировала, Бельгия)
2. (Жозеф Жоффр, разработал, план XVII)
3. (Жозеф Жоффр, командует, Франция)
4. (Александр фон Клук, командует, Германия)
5. (Германия, воевала с, Франция)
6. (Германия, воевала с, Великобритания)
7. (Франция, воевала с, Германия)
8. (Великобритания, воевала с, Германия)
9. (Жозеф Жоффр, противостоял, Александр фон Клук)
10. (Сэр Джон Френч, командует, Великобритания)

(Гельмут фон Мольтке, командовал, Германия)
(Гельмут фон Мольтке, приказал, наступление)
(Карл фон Бюлов, командовал, 2-я армия)
(Фердинанд Фош, командовал, 9-я армия)
(Жозеф Жоффр, командовал, Франция)
(Сэр Джон Френч, командовал, Британские экспедиционные силы)
(Лорд Китченер, убедил, Сэр Джон Френч)
(Германия, воевала с, Франция)
(Германия, воевала с, Великобритания)
(Германия, воевала с, Россия)
(Россия, вторглась в, Восточная Пруссия)
(Россия, провела, мобилизацию)
(Франция, инвестировала в, железные дороги)
(Британские экспедиционные силы, участвовали в, битва на Марне)
(Германия, отступила к, река Эна)

1. (Александр Самсонов, командует, русская 2-я армия)
2. (Максимилиан фон Притвиц, командовал, 8-я армия)
3. (Пауль фон Гинденбург, командует, 8-я армия)
4. (Эрих Людендорф, командует, 8-я армия)
5. (Пауль фон Гинденбург, командовал, Эрих Людендорф)
6. (Эрих Людендорф, командовал, Пауль фон Гинденбург)
7. (Франц Конрад фон Гетцендорф, командует, австро-венгерская армия)
8. (Россия, воевала с, Германия)
9. (Россия, воевала с, Австро-Венгрия)
10. (Германия, воевала с, Россия)
11. (Австро-Венгрия, воевала с, Россия)
12. (Танненберг, место подписания, битва при Танненберге)
13. (Россия, оккупировала, Австро-Венгрия)
14. (Германия, оккупировала, Россия)
15. (Россия, вступила в войну, 1914)

(Австро-Венгрия, воевала с, Сербия)  
(Австро-Венгрия, воевала с, Россия)  
(Германия, воевала с, Россия)  
(Конрад фон Гетцендорф, командовал, Австро-Венгрия)  
(Конрад фон Гетцендорф, противостоял, Сербия)  
(Конрад фон Гетцендорф, противостоял, Россия)  
(Потиорек, командовал, Австро-Венгрия)  
(Потиорек, противостоял, Сербия)  
(Россия, воевала с, Австро-Венгрия)  
(Россия, воевала с, Германия)  
(Сербия, воевала с, Австро-Венгрия)

1. (Россия, воевала с, Австро-Венгрия)
2. (Россия, оккупировала, Львов)
3. (Эрих фон Фалькенгайн, командует, Германия)
4. (Германия, воевала с, Великобритания)
5. (Германия, воевала с, Бельгия)
6. (Великобритания, воевала с, Германия)
7. (Ипр, место подписания, Ипрский выступ)
8. (Германия, оккупировала, Бельгия)
9. (Бельгия, воевала с, Германия)

(Россия, воевала с, Германия)  
(Россия, воевала с, Австро-Венгрия)  
(Эрих Людендорф, противостоял, Россия)  
(Эрих Людендорф, командовал, Германия)  
(Франц Конрад фон Хётцендорф, командовал, Австро-Венгрия)  
(Эрих Людендорф, противостоял, Франц Конрад фон Хётцендорф)  
(Энвер-паша, вторгся в, Россия)  
(Энвер-паша, представляет, Османская империя)  
(Энвер-паша, противостоял, Россия)  
(Энвер-паша, противостоял, Кемаль Ататюрк)  
(Кемаль Ататюрк, противостоял, Энвер-паша)  
(Османская империя, воевала с, Россия)  
(Османская империя, воевала с, Великобритания)  
(Эрих Людендорф, командовал, германская армия)  
(Энвер-паша, командовал, Османская империя)

(Уинстон Черчилль, представляет, Великобритания)  
(Великобритания, воевала с, Германия)  
(Великобритания, вступила в войну, 1914-08-04)  
(Германия, воевала с, Великобритания)  
(Сидней, место подписания, англо-германская война)

(Германия, воевала с, Великобритания)  
(Британия, заключила союз с, Италия)  
(Британия, заключила союз с, Россия)  
(Британия, воевала с, Османская империя)  
(Османская армия, потерпела поражение, Кавказ)  
(Британия, предложила, Константинополь)  
(Британия, планировала разделить, Османская империя)  
(Черчилль, представляет, Британия)  
(Британия, воевала с, Турция)  
(Британия, воевала с, Германия)  
(Британия, воевала с, Османская империя)  
(Британия, воевала с, Турция)  
(Британия, воевала с, Германия)  
(Британия, воевала с, Османская империя)  
(Британия, воевала с, Турция)

(Руперт Брук, умер в, Египет)  
(Ян Гамильтон, командует, Великобритания)  
(Кемаль Ататюрк, командует, Турция)  
(Эрих фон Фалькенгайн, командует, Германия)  
(Эрих фон Фалькенгайн, противостоял, Гельмут фон Мольтке)  
(Германия, воевала с, Великобритания)  
(Германия, воевала с, Россия)  
(Германия, воевала с, Франция)  
(Турция, воевала с, Великобритания)  
(Турция, воевала с, Австралия)  
(Турция, воевала с, Новая Зеландия)  
(Великобритания, воевала с, Турция)  
(Великобритания, воевала с, Германия)  
(Россия, воевала с, Германия)  
(Россия, воевала с, Турция)

(Эрих фон Фалькенгайн, противостоял, Конрад фон Хётцендорф)  
(Германия, воевала с, Франция)  
(Германия, воевала с, Великобритания)  
(Германия, воевала с, Россия)  
(Германия, воевала с, Италия)  
(Германия, использовала, отравляющий газ)  
(Эрих фон Фалькенгайн, командовал, Германия)  
(Германия, использовала, отравляющий газ)  
(Германия, воевала с, Канада)  
(Германия, воевала с, Британская империя)  
(Германия, воевала с, Австро-Венгрия)  
(Германия, воевала с, Британские экспедиционные силы)  
(Германия, воевала с, Британские добровольцы)  
(Германия, воевала с, Британские экспедиционные силы)  
(Германия, воевала с, Франция)

1. (Сэр Джон Френч, командовал, британской армией)
2. (Сэр Дуглас Хейг, командовал, британской армией)
3. (Сэр Дуглас Хейг, представляет, Великобритания)
4. (Гинденбург, командует, Oberost)
5. (Фалькенгайн, противостоял, Людендорф)
6. (Австро-Венгрия, воевала с, Россия)
7. (Германия, воевала с, Россия)
8. (Франция, воевала с, Германия)
9. (Перемышль, место подписания, капитуляция)
10. (Перемышль, дата подписания, 22 марта 1915)
11. (Георг фон дер Марвиц, командует, Beskidenkorps)
12. (Россия, оккупировала, Перемышль)
13. (Россия, воевала с, Австро-Венгрия)
14. (Россия, воевала с, Германия)
15. (Германия, командует, Sudarmee)

(Италия, подписала, Лондонский договор)  
(Италия, вступила в войну, 1915-05-23)  
(Эрих фон Фалькенгайн, разработал, план наступления на Восточном фронте)  
(Август фон Макензен, командовал, 11-я армия)  
(Австро-Венгрия, воевала с, Италия)  
(Австро-Венгрия, воевала с, Россия)  
(Россия, воевала с, Германия)  
(Россия, воевала с, Австро-Венгрия)  
(Россия, воевала с, Италия)  
(Николай Иванов, командует, Юго-Западный фронт)  
(Россия, пыталась втянуть в войну, Румыния)  
(Россия, пыталась втянуть в войну, Италия)

(Австро-Венгрия, воевала с, Россия)  
(Германия, воевала с, Россия)  
(Германия, оккупировала, Польша)  
(Германия, оккупировала, Россия)  
(Германия, оккупировала, Львов)  
(Германия, оккупировала, Варшава)  
(Германия, оккупировала, Ковно)  
(Германия, оккупировала, Новогеоргиевск)  
(Германия, оккупировала, Перемышль)  
(Германия, оккупировала, Рига)  
(Германия, оккупировала, Литва)  
(Германия, оккупировала, Галиция)  
(Германия, оккупировала, Балтика)  
(Германия, оккупировала, Ярослав)  
(Германия, оккупировала, Сан)

(Германия, оккупировала, Сербия)  
(Болгария, оккупировала, Сербия)  
(Эрих фон Фалькенгайн, командовал, Германия)  
(Август фон Макензен, командовал, Германия)  
(Эрих фон Фалькенгайн, противостоял, Эрих Людендорф)

