(Брест-Литовск, место подписания, Брест-Литовский мирный договор)  
(Людендорф, командует, Германия)  
(Энвер-паша, командует, Турция)  
(Фалькенгайн, командует, Германия)  
(Черчилль, представляет, Великобритания)  
(Талаат, представляет, Турция)  
(Царь, представляет, Россия)  
(Конрад, командует, Австро-Венгрия)

(Наполеон, противостоял, Британия)
(Британия, воевала с, Франция)
(Черчилль, представляет, Британия)
(Германия, воевала с, Британия)
(Морис Хэнки, представляет, Британия)
(Германия, воевала с, Россия)
(Германия, воевала с, Португалия)
(Германия, воевала с, Испания)
(Германия, воевала с, Соединенные Штаты)
(Германия, воевала с, Голландия)

(Фридрих Великий, воевала с, Францией)
(Фридрих Великий, воевала с, Россией)
(Фридрих Великий, воевала с, Австрией)
(Британия, воевала с, Францией)
(Британия, предложила, Константинополь)
(Британия, вступила в войну, 1914)
(Британия, вывозила товары в, Латинской Америке)
(Британия, вывозила товары в, Италии)
(Британия, вывозила товары в, России)
(Британия, предложила, Константинополь)
(Британия, предложила, Османскую империю)
(Британия, предложила, Дарданеллы)
(Британия, предложила, Сестос)
(Британия, предложила, Абидос)
(Британия, предложила, Байрон)

(Ян Гамильтон, командует, Великобритания)  
(Руперт Брук, умер в, Египет)  
(Кемаль Ататюрк, командует, Турция)  
(Эрих фон Фалькенгайн, командует, Германия)  
(Эрих фон Фалькенгайн, противостоял, Мольтке)  
(Франц фон Папен, противостоял, США)  
(Франц фон Папен, командует, Германия)  
(Франц фон Папен, противостоял, Гитлер)

(Фалькенгайн, противостоял, Конрад)
(Фалькенгайн, командует, Германия)
(Фалькенгайн, представляет, Германия)
(Уинстон Черчилль, противостоял, Фалькенгайн)
(Екатерина Великая, представляет, Россия)
(Германия, воевала с, Россия)
(Германия, воевала с, Франция)
(Германия, воевала с, Великобритания)
(Германия, воевала с, Италия)
(Германия, воевала с, Канада)
(Германия, воевала с, Британские экспедиционные силы)
(Германия, оккупировала, Франция)
(Британские экспедиционные силы, воевала с, Германия)
(Британские экспедиционные силы, воевала с, Франция)
(Британские экспедиционные силы, воевала с, Италия)

(Сэр Джон Френч, противостоял, Дуглас Хейг)  
(Дуглас Хейг, представляет, Великобритания)  
(Фалькенгайн, противостоял, Людендорф)  
(Людендорф, противостоял, Фалькенгайн)  
(Георг фон дер Марвиц, командует, германская армия)  
(Перемышль, капитулировал, Россия)  
(Франция, воевала с, Германия)  
(Австро-Венгрия, воевала с, Россия)  
(Габсбургская империя, воевала с, Россия)  
(Германия, воевала с, Россия)  
(Россия, воевала с, Австро-Венгрия)  
(Россия, воевала с, Германия)  
(Франция, воевала с, Германия)  
(Людендорф, командует, германская армия)  
(Фалькенгайн, командует, германская армия)

(Италия, заключила, Лондонский договор)  
(Италия, вступила в войну, 1915-05-23)  
(Фалькенгайн, разработал, план наступления в Карпатах)  
(Август фон Макензен, командует, 11-я армия)  
(Россия, воевала с, Германия)  
(Россия, воевала с, Австро-Венгрия)  
(Николай Иванов, командует, Юго-Западный фронт)  
(Фалькенгайн, противостоял, Россия)  
(Фалькенгайн, командует, Германия)  
(Австро-Венгрия, воевала с, Италия)

(Фалькенгайн, встретился в, Ярославе)  
(Фалькенгайн, встретился с, Хансом фон Зектом)  
(Ханс фон Зект, встретился в, Ярославе)  
(Макс фон Гальвиц, начал громить, русские войска)  
(Август фон Макензен, начал громить, русские войска)  
(Ханс фон Безелер, покоритель, Антверпен)  
(Михаил Алексеев, командует, Юго-Западным фронтом)  
(Россия, воевала с, Германия)  
(Россия, воевала с, Австро-Венгрия)  
(Германия, воевала с, Россия)  
(Австро-Венгрия, воевала с, Россия)  
(Германия, оккупировала, Польша)  
(Германия, оккупировала, Варшава)  
(Германия, оккупировала, Львов)  
(Германия, оккупировала, Ковно)

(Людендорф, противостоял, Фалькенгайн)
(Фалькенгайн, командовал, Макензен)
(Германия, оккупировала, Сербия)

(Фалькенгайн, противостоял, Филипп Петен)  
(Фалькенгайн, противостоял, Робер Нивель)  
(Филипп Петен, представляет, Франция)  
(Фридрих фон дер Шуленбург, представляет, Германия)  
(Фалькенгайн, представляет, Германия)  
(Франция, воевала с, Германия)  
(Германия, воевала с, Франция)  
(Фалькенгайн, командовал, Германия)  
(Филипп Петен, командовал, Франция)  
(Франция, воевала с, Германия)  
(Германия, воевала с, Франция)  
(Фалькенгайн, командовал, Германия)  
(Филипп Петен, командовал, Франция)  
(Франция, воевала с, Германия)  
(Германия, воевала с, Франция)

(Нивель, командует, Франция)
(Фалькенгайн, противостоял, Конрад)
(Конрад, противостоял, Фалькенгайн)
(Смирнов, противостоял, Безобразов)
(Куропаткин, противостоял, Смирнов)
(Михаил Лемке, противостоял, Куропаткин)
(Франция, воевала с, Германия)
(Италия, воевала с, Австрия)
(Россия, воевала с, Германия)
(Верден, место подписания, Верденский договор)
(Франция, оккупировала, Верден)
(Австрия, оккупировала, Италия)
(Россия, оккупировала, Белоруссия)
(Германия, оккупировала, Франция)
(Германия, оккупировала, Бельгия)

(Джон Джеллико, командует, Великобритания)  
(Ютландское, место подписания, Ютландское сражение)  
(Дуглас Хейг, командует, Великобритания)  
(Франция, воевала с, Германия)  
(Шантийи, место подписания, соглашение о взаимодействии)  
(Дуглас Хейг, представляет, Великобритания)  
(Амьен, место подписания, соглашение о взаимодействии)  
(Верден, место подписания, Верденское сражение)

(Хейг, противостоял, немцы)
(Герберт Джордж Уэллс, разработал, танк)
(Уинстон Черчилль, проводил испытания, танк)
(Хейг, командовал, британская армия)
(А.А. Брусилов, командовал, Юго-Западный фронт)
(А.А. Брусилов, воевал с, австрийцы)

(Брусилов, командует, Россия)
(Эрцгерцог Иосиф Фердинанд, командует, Австро-Венгрия)
(Карл фон Пфланцер-Балтин, командует, Австро-Венгрия)
(Брусилов, противостоял, Эрцгерцог Иосиф Фердинанд)
(Россия, воевала с, Австро-Венгрия)

(Алексей Брусилов, командовал, Владимир Безобразов)  
(Владимир Безобразов, командовал, Особая армия)  
(Георг фон дер Марвиц, противостоял, Алексей Брусилов)  
(Алексей Брусилов, противостоял, Георг фон дер Марвиц)  
(Франц Иосиф, умер в, Австрия)  
(Франц Иосиф, представляет, Австрия)  
(Дэвид Ллойд Джордж, представляет, Британия)  
(Румыния, вступила в войну, 1916)  
(Россия, воевала с, Германия)  
(Россия, воевала с, Австрия)  
(Россия, воевала с, Центральные державы)  
(Центральные державы, воевала с, Россия)  
(Центральные державы, воевала с, Румыния)  
(Британия, воевала с, Центральные державы)  
(Австрия, воевала с, Россия)

(Вильсон, представляет, США)  
(Ллойд Джордж, противостоял, Людендорф)  
(Людендорф, представляет, Германия)  
(Гинденбург, разработал, программа Гинденбурга)  
(Робер Нивель, представляет, Франция)  
(Вудро Вильсон, противостоял, Людендорф)  
(Германия, воевала с, Франция)  
(Германия, воевала с, Великобритания)  
(Германия, угрожала, США)  
(Уинстон Черчилль, противостоял, Германия)

(Адмирал Хеннинг фон Хольцендорф, командует, Германия)
(Бетман-Гольвег, противостоял, Людендорф)
(Вильсон, представляет, Соединенные Штаты)
(Бетман-Гольвег, представляет, Германия)
(Карл, представляет, Австро-Венгрия)

(Эрнст Резерфорд, представляет, Новая Зеландия)  
(Соединенные Штаты, вступила в войну, 1917)  
(Артур Циммерман, подписал, телеграмма Циммермана)  
(Уильям Холл, представляет, Британия)  
(Вильсон, объявил войну, Германия)  
(Соединенные Штаты, разорвала дипломатические отношения, Берлин)  
(Британия, субсидировала, Россию)  
(Робер Нивель, командовал, французской армией)  
(Дуглас Хейг, командовал, британской армией)

(Нивель, разработал, тактика взаимодействия всех родов войск и вооружений)  
(Нивель, представляет, Третьей республики)  
(Нивель, противостоял, Хейг)  
(Ллойд Джордж, командовал, Хейг)  
(Нивель, командовал, Хейг)  
(Нивель, представляет, Франция)  
(Хейг, представляет, Великобритания)  
(Верден, место подписания, Верденский договор)  
(Англия, место подписания, Лондонский договор)  
(Шмен-де-Дам, место подписания, Шмен-де-Дамский договор)  
(Реймс, место подписания, Реймсский договор)

(Нивель, противостоял, Филипп Петен)  
(Филипп Петен, представляет, Франция)  
(Жорж Клемансо, представляет, Франция)  
(Россия, воевала с, Германия)  
(Николай II, представляет, Россия)  
(Россия, разорвала дипломатические отношения, Германия)  
(Россия, вступила в войну, 1914)  
(Россия, оккупировала, Германия)  
(Россия, подписала перемирие, Германия)  
(Россия, заключила союз с, Франция)  
(Россия, заключила союз с, Великобритания)  
(Россия, разорвала дипломатические отношения, Австро-Венгрия)  
(Россия, разорвала дипломатические отношения, Османская империя)  
(Россия, разорвала дипломатические отношения, Болгария)  
(Россия, разорвала дипломатические отношения, Турция)

(Ленин, представляет, большевики)  
(Ленин, противостоял, Временное правительство)  
(Ленин, находился в, Финляндия)  
(Ленин, прибыл в, Россия)  
(Ленин, прибыл из, Швейцария)  
(Ленин, противостоял, старый режим)  
(Ленин, противостоял, генералы)  
(Ленин, противостоял, дипломаты)  
(Ленин, противостоял, англичане)  
(Ленин, противостоял, французы)  
(Ленин, противостоял, немцы)  
(Ленин, противостоял, Временное правительство)  
(Ленин, противостоял, большевики)  
(Ленин, противостоял, Совет)  
(Ленин, противостоял, армия)

(Хейг, командовал, Великобритания)
(Герберт Пламер, командовал, 2-й армией)
(Хейг, противостоял, фон Лоссберг)
(Хейг, противостоял, Германия)
(Хейг, противостоял, Мессин)
(Хейг, противостоял, Ипр)
(Хейг, противостоял, Пашендаль)
(Хейг, противостоял, Сомма)
(Хейг, противостоял, Ипрский выступ)
(Хейг, противостоял, Гелювельт)
(Хейг, противостоял, Зеебрюгге)
(Хейг, противостоял, Фландрия)
(Хейг, противостоял, Лондон)
(Хейг, противостоял, Ленин)
(Хейг, противостоял, Хьюберт Гоф)

(Гоф, командовал, солдатами)
(Пламер, командовал, войсками)
(Петен, командовал, войсками)
(Хейг, командовал, Пламер)
(Хейг, командовал, войсками)
(Пламер, провел сражение, Бродсейнде)
(Пламер, провел сражение, Пашендаль)
(Хейг, провел сражение, Камбре)
(Камбре, место сражения, танки)
(Англия, место сражения, Камбре)
(Брусилов, провел сражение, прорыв)
(Пашендаль, место сражения, войска)
(Камбре, место сражения, британцы)
(Пашендаль, место сражения, британцы)
(Бродсейнде, место сражения, Пламер)

(Луиджи Кадорна, представляет, Италия)  
(Отто фон Белов, командовал, Эрвин Роммель)  
(Отто фон Белов, командовал, Фердинанд Шернер)  
(Италия, воевала с, Австро-Венгрия)  
(Италия, воевала с, Германия)  
(Италия, вступила в войну, 1915)  
(Италия, оккупировала, Изонцо)  
(Италия, оккупировала, Байнсицца)  
(Италия, оккупировала, Удине)  
(Италия, оккупировала, Вена)  
(Италия, оккупировала, Восток)  
(Италия, оккупировала, Рига)  
(Италия, оккупировала, Западная Двина)  
(Италия, оккупировала, Камбре)  
(Италия, оккупировала, Соча)

(Пьетро Бадольо, командовал, Италия)  
(Кадорна, противостоял, Капелло)  
(Рихард фон Берендт, командовал, артиллерией)  
(Роммель, командовал, Вюртембергский батальон)  
(Аоста, командовал, 3-я армия)  
(Капелло, командовал, 2-я армия)  
(Капоретто, место подписания, перемирие)  
(Тольмейно, место подписания, перемирие)  
(Верона, место подписания, перемирие)  
(Падуя, место подписания, перемирие)  
(Кадорна, командовал, Италия)  
(Капелло, командовал, Италия)  
(Бадольо, командовал, Италия)  
(Роммель, командовал, Италия)  
(Аоста, командовал, Италия)

(Эрнст Хемингуэй, разработал, Прощай, оружие)  
(Порше, командовал, артиллерией)  
(Армандо Диац, командовал, Италией)  
(Отто фон Белов, командовал, Германией)  
(Германия, воевала с, Италия)  
(Германия, воевала с, Россия)  
(Италия, воевала с, Германия)  
(Италия, воевала с, Австрия)

1. (Троцкий, подписал, Брест-Литовский мир)
2. (Ленин, представляет, Россия)
3. (Герман фон Эйхгорн, командует, Украина)
4. (Отто фон Лоссов, командует, Грузия)
5. (Людендорф, противостоял, Рихард фон Кюльман)
6. (Ллойд Джордж, представляет, Британия)
7. (Рихард фон Кюльман, представляет, Германия)
8. (Пауль фон Хинце, представляет, Германия)
9. (Германия, заключила, Брест-Литовский мир)
10. (Германия, оккупировала, Прибалтика)
11. (Германия, оккупировала, Украина)
12. (Германия, оккупировала, Грузия)
13. (Германия, оккупировала, Россия)
14. (Германия, воевала с, Британия)
15. (Германия, воевала с, Россия)

(Кюльман, подписал, Четырнадцать пунктов)
(Вильсон, разработал, Четырнадцать пунктов)
(Отто фон Белов, командовал, Северная Франция)
(Отто фон Белов, противостоял, Гоф)
(Гоф, командовал, британская 5-я армия)
(Людендорф, командовал, наступательная кампания)
(Гитлер, противостоял, Гоф)
(Гитлер, командовал, небольшие подразделения солдат)
(Гоф, противостоял, Отто фон Белов)
(Гоф, противостоял, Людендорф)
(Гоф, противостоял, Гитлер)
(Гоф, командовал, Пашендаль)
(Людендорф, командовал, Западный фронт)
(Людендорф, противостоял, Гоф)
(Людендорф, противостоял, Хейг)

(Гоф, командует, 5-й армией)  
(Бинг, командует, 3-й армией)  
(Фердинанд Фош, командовал, Гоф)  
(Фердинанд Фош, командовал, Бинг)  
(Фердинанд Фош, представляет, Франция)  
(Германия, воевала с, Великобритания)  
(Германия, воевала с, Франция)  
(Людендорф, командует, Германия)  
(Людендорф, противостоял, Хейг)  
(Хейг, командует, британскими войсками)  
(Фердинанд Фош, противостоял, Людендорф)  
(Германия, оккупировала, Франция)  
(Германия, оккупировала, Бельгия)  
(Фердинанд Фош, противостоял, Капоретто)  
(Фердинанд Фош, противостоял, Кадорна)

(Хейг, противостоял, Людендорф)  
(Людендорф, командовал, Германия)  
(Дени Огюст Дюшен, командует, Франция)  
(Ханс фон Бён, командует, Германия)  
(Германия, воевала с, Франция)  
(Германия, воевала с, Великобритания)  
(Германия, воевала с, США)  
(Германия, оккупировала, Франция)  
(Германия, оккупировала, Бельгия)  
(Германия, оккупировала, Португалия)  
(Германия, оккупировала, Италия)  
(Германия, оккупировала, Россия)  
(Германия, оккупировала, Австро-Венгрия)  
(Германия, оккупировала, Ла-Манш)  
(Германия, оккупировала, Париж)

(Эрих Людендорф, противостоял, Фердинанд Фош)  
(Эрих Людендорф, командовал, Германия)  
(Франция, воевала с, Германия)  


(Людендорф, противостоял, Гинденбург)
(Фош, противостоял, Людендорф)
(Хейг, командовал, британской армией)
(Германия, воевала с, Великобритания)
(Германия, воевала с, США)
(Германия, воевала с, Франция)
(Германия, воевала с, Австралия)
(Германия, воевала с, Канада)
(Германия, воевала с, Бельгия)
(Германия, воевала с, Люксембург)
(Германия, воевала с, Италия)
(Германия, воевала с, Япония)
(Германия, воевала с, Китай)
(Германия, воевала с, Россия)
(Германия, воевала с, Румыния)

(Людендорф, противостоял, союзнические войска)  
(Генрих Ламмаш, представляет, Австро-Венгрия)  
(Макс Баденский, представляет, Германия)  
(Людендорф, представляет, Германия)  
(Маттиас Эрцбергер, представляет, Германия)  
(Филипп Шейдеман, представляет, Германия)  
(Германия, воевала с, союзнические войска)  
(Германия, оккупировала, Россия)  
(Германия, оккупировала, Турция)  
(Германия, подписала перемирие, союзнические войска)  
(Австро-Венгрия, подписала перемирие, союзнические войска)  
(Австро-Венгрия, разорвала дипломатические отношения, Германия)  
(Германия, разорвала дипломатические отношения, Австро-Венгрия)  
(Германия, заключила союз с, Османская империя)  
(Германия, заключила союз с, Австро-Венгрия)

```
(Вудро Вильсон, противостоял, Людендорф)
(Людендорф, противостоял, Вильгельм II)
(Пауль фон Гинденбург, назначил, Адольф Гитлер)
(Фердинанд Фош, представляет, Франция)
(Фердинанд Фош, место подписания, Компьенское перемирие)
(Германия, подписала перемирие, Франция)
```

(Вудро Вильсон, прибыл в, Европа)  
(Версаль, место подписания, Версальский договор)  
(Версальский договор, дата подписания, 28 июня 1919)  
(Т.Э. Лоуренс, представляет, Великобритания)  
(Севр, место подписания, Севрский договор)  
(Турция, признана в, Лозанна)  
(Вудро Вильсон, разработал, Лига наций)  
(Сталин, представляет, Россия)  
(Германия, подписала, Версальский договор)  
(Германия, отдала территории, Польша)  
(Германия, выплатила, репарации)  
(Франция, видела помеху, восстановление экономики Германии)  
(Германия, оккупировала, Франция)  
(Адольф Гитлер, воспользовался, решения Версаля)  
(Веймар, место разработки, демократическая конституция)

(Адольф Гитлер, командует, Германия)
(Адольф Гитлер, противостоял, Веймарская республика)
(Адольф Гитлер, противостоял, Людендорф)
(Адольф Гитлер, противостоял, Ллойд Джордж)
(Адольф Гитлер, противостоял, Первая мировая война)
(Адольф Гитлер, противостоял, евреи)
(Адольф Гитлер, противостоял, левые)
(Адольф Гитлер, противостоял, мягкотелые академики)
(Адольф Гитлер, противостоял, либерализм)
(Адольф Гитлер, противостоял, революция)
(Адольф Гитлер, противостоял, преступники)
(Адольф Гитлер, противостоял, евреям)
(Адольф Гитлер, противостоял, Вторая мировая война)
(Адольф Гитлер, противостоял, Первая мировая война)
(Адольф Гитлер, противостоял, Германия)

