(Брест-Литовск, место подписания, дипломатический договор)
(Австро-Венгрия, воевала с, Россия)  
(Германия, гарантировала нейтралитет, Бельгия)  
(Великобритания, гарантировала нейтралитет, Бельгия)  
(Дэвид Ллойд Джордж, утверждал, Германия станет непобедимой)  
(Германия, построила, большой флот)  
(Германия, повела себя агрессивно, Россия)  
(Германия, повела себя агрессивно, Франция)

(Эдуард Грей, представляет, Великобритания)  
(Эдуард Грей, противостоял, Германия)  
(Франция, воевала с, Германия)  
(Великобритания, воевала с, Германия)  
(Россия, воевала с, Германия)  
(Германия, воевала с, Франция)  
(Германия, воевала с, Великобритания)  
(Германия, воевала с, Россия)  
(Россия, вступила в войну, 1914-08-01)  
(Германия, вступила в войну, 1914-08-01)  
(Франция, вступила в войну, 1914-08-01)  
(Великобритания, вступила в войну, 1914-08-04)  
(Франция, разработала, метод ведения войны)  
(Луи Фердинанд Селин, представляет, Франция)  
(Россия, заключила союз с, Франция)  
(Россия, заключила союз с, Великобритания)  
(Франция, заключила союз с, Великобритания)  
(Германия, оккупировала, Бельгия)  
(Германия, оккупировала, Франция)  
(Россия, разорвала дипломатические отношения, Германия)  
(Франция, разорвала дипломатические отношения, Германия)  
(Великобритания, разорвала дипломатические отношения, Германия)  
(Германия, подписала перемирие, Франция)  
(Германия, подписала перемирие, Великобритания)  
(Германия, подписала перемирие, Россия)

(Жозеф Жоффр, разработал, план XVII)  
(Жозеф Жоффр, командует, Франция)  
(Александр фон Клук, командует, Германия)  
(Карл фон Бюлов, командует, Германия)  
(Гельмут фон Мольтке, командует, Германия)  
(Фердинанд Фош, командует, Франция)  
(Фердинанд Фош, командует, 9-я армия)  
(Сэр Джон Френч, командует, Британские экспедиционные силы)  
(Сэр Джон Френч, представляет, Великобритания)  
(Льеж, место подписания, Договор)  
(Германия, воевала с, Франция)  
(Германия, воевала с, Великобритания)  
(Германия, воевала с, Россия)  
(Франция, воевала с, Германия)  
(Великобритания, воевала с, Германия)  
(Россия, воевала с, Германия)  
(Германия, оккупировала, Бельгия)  
(Германия, оккупировала, Франция)  
(Россия, вторглась в, Восточная Пруссия)  
(Франция, вступила в войну, 1914-08-03)  
(Великобритания, вступила в войну, 1914-08-04)  
(Россия, вступила в войну, 1914-08-01)  
(Германия, вступила в войну, 1914-08-01)  
(Бельгия, вступила в войну, 1914-08-04)  
(Франция, заключила союз с, Великобритания)

(Александр Самсонов, командует, русская 2-я армия)  
(Максимилиан фон Притвиц, командовал, 8-я армия)  
(Пауль фон Гинденбург, командует, 8-я армия)  
(Эрих Людендорф, командует, 8-я армия)  
(Пауль фон Гинденбург, противостоял, Александр Самсонов)  
(Эрих Людендорф, противостоял, Александр Самсонов)  
(Франц Конрад фон Гетцендорф, командует, австро-венгерская армия)  
(Франц Конрад фон Гетцендорф, противостоял, русская армия)  
(Франц Конрад фон Гетцендорф, противостоял, сербская армия)  
(Россия, воевала с, Германия)  
(Россия, воевала с, Австро-Венгрия)  
(Германия, воевала с, Россия)  
(Австро-Венгрия, воевала с, Россия)  
(Австро-Венгрия, воевала с, Сербия)  
(Сербия, воевала с, Австро-Венгрия)  
(Россия, вступила в войну, 1914-08-01)  
(Германия, вступила в войну, 1914-08-01)  
(Австро-Венгрия, вступила в войну, 1914-08-01)  
(Сербия, вступила в войну, 1914-08-01)

1. (Эрих фон Фалькенгайн, командует, Германия)
2. (Эрих фон Фалькенгайн, заменил, Мольтке)
3. (Львов, место подписания, Лемберг)
4. (Людендорф, противостоял, Конрад)
5. (Людендорф, командует, Германия)
6. (Энвер-паша, вторгся в, Россия)
7. (Энвер-паша, командует, Османская империя)
8. (Россия, воевала с, Османская империя)
9. (Россия, воевала с, Германия)
10. (Россия, воевала с, Австро-Венгрия)
11. (Германия, воевала с, Великобритания)
12. (Германия, воевала с, Франция)
13. (Германия, воевала с, Бельгия)
14. (Османская империя, воевала с, Россия)
15. (Энвер-паша, представляет, Османская империя)
16. (Кемаль Ататюрк, противостоял, Энвер-паша)
17. (Энвер-паша, женат на, племяннице султана)
18. (Энвер-паша, командует, Османская империя)
19. (Энвер-паша, противостоял, Кемаль Ататюрк)
20. (Энвер-паша, вторгся в, Кавказ)
21. (Энвер-паша, командует, Османская империя)
22. (Энвер-паша, противостоял, Кемаль Ататюрк)
23. (Энвер-паша, вторгся в, Кавказ)
24. (Энвер-паша, командует, Османская империя)
25. (Энвер-паша, противостоял, Кемаль Ататюрк)

(Черчилль, представляет, Британия)  
(Британия, вступила в войну, 1914-08-04)  
(Британия, воевала с, Германия)  
(Британия, блокировала, Германия)  
(Британия, заключила союз с, Россия)  
(Британия, заключила союз с, Италия)  
(Британия, заключила союз с, Португалия)  
(Британия, заключила союз с, Испания)  
(Британия, заключила союз с, Австрия)  
(Британия, заключила союз с, Османская империя)  
(Британия, заключила союз с, Франция)  
(Британия, заключила союз с, США)  
(Британия, заключила союз с, Индия)  
(Британия, заключила союз с, Румыния)  
(Британия, заключила союз с, Балканские страны)  
(Британия, заключила союз с, Латинская Америка)  
(Британия, заключила союз с, Греция)  
(Британия, заключила союз с, Турция)  
(Британия, заключила союз с, Египет)  
(Британия, заключила союз с, Левант)  
(Британия, заключила союз с, Кавказ)  
(Британия, заключила союз с, Германия)  
(Британия, заключила союз с, Австрия)  
(Британия, заключила союз с, Франция)  
(Британия, заключила союз с, Россия)

(Руперт Брук, умер в, Египет)  
(Ян Гамильтон, командует, Великобритания)  
(Кемаль Ататюрк, командует, Турция)  
(Эрих фон Фалькенгайн, командует, Германия)  
(Эрих фон Фалькенгайн, противостоял, Мольтке)  
(Эрих фон Фалькенгайн, противостоял, Конрад)  
(Франц фон Папен, противостоял, США)  
(Франц фон Папен, командовал, Германия)  
(Германия, воевала с, Великобритания)  
(Германия, воевала с, Франция)  
(Германия, воевала с, Россия)  
(Германия, воевала с, Канада)  
(Германия, воевала с, Австралия)  
(Германия, воевала с, Новая Зеландия)  
(Германия, воевала с, Турция)  
(Турция, воевала с, Великобритания)  
(Турция, воевала с, Австралия)  
(Турция, воевала с, Новая Зеландия)  
(Турция, воевала с, Армения)  
(Турция, оккупировала, Армения)  
(Турция, разорвала дипломатические отношения, Армения)  
(Великобритания, воевала с, Германия)  
(Великобритания, воевала с, Турция)  
(Великобритания, воевала с, Австро-Венгрия)  
(Великобритания, воевала с, Османская империя)

(Сэр Джон Френч, командовал, британской армией)
(Сэр Джон Френч, заменил, сэр Дуглас Хейг)
(Сэр Дуглас Хейг, пользовался благосклонностью, король)
(Гинденбург, стал, главнокомандующим на Востоке)
(Италия, подписала, Лондонский договор)
(Италия, вступила в войну, 1915-05-23)
(Италия, заключила союз с, союзники)
(Австро-Венгрия, воевала с, Россия)
(Австро-Венгрия, воевала с, Италия)
(Австро-Венгрия, воевала с, союзники)
(Фалькенгайн, направил, армейские корпуса)
(Фалькенгайн, разработал, план)
(Фалькенгайн, преследовал, две цели)
(Фалькенгайн, добился, успехов)
(Фалькенгайн, доказал, правоту)
(Фалькенгайн, уговорил, австро-венгров)
(Фалькенгайн, пообещал, помощь)
(Фалькенгайн, держал в тайне, подготовка к наступлению)
(Фалькенгайн, преследовал, две цели)
(Фалькенгайн, разработал, блестящий план)
(Фалькенгайн, преследовал, две цели)
(Фалькенгайн, преследовал, две цели)
(Фалькенгайн, преследовал, две цели)
(Фалькенгайн, преследовал, две цели)
(Фалькенгайн, преследовал, две цели)

(Эрих фон Фалькенгайн, встретился, Ханс фон Зект)  
(Германия, оккупировала, Сербия)  
(Германия, воевала с, Россия)  
(Германия, оккупировала, Польша)  
(Германия, оккупировала, Литва)  
(Германия, оккупировала, Варшава)  
(Германия, оккупировала, Львов)  
(Германия, оккупировала, Перемышль)  
(Германия, оккупировала, Вильно)  
(Германия, оккупировала, Ковно)  
(Германия, оккупировала, Новогеоргиевск)  
(Германия, оккупировала, Брест-Литовск)  
(Германия, оккупировала, Свенцянский прорыв)  
(Германия, оккупировала, Рига)  
(Германия, оккупировала, Ярослав)  
(Германия, оккупировала, Галиция)  
(Германия, оккупировала, Балтика)  
(Германия, оккупировала, Припять)  
(Германия, оккупировала, Белоруссия)  
(Германия, оккупировала, Болгария)  
(Германия, оккупировала, Турция)  
(Германия, оккупировала, Антверпен)  
(Германия, оккупировала, Киев)  
(Германия, оккупировала, Карпаты)  
(Германия, оккупировала, Сан)

(Фалькенгайн, противостоял, Британия)  
(Фалькенгайн, противостоял, Франция)  
(Фридрих фон дер Шуленбург, представляет, Германия)  
(Филипп Петен, командует, Франция)  
(Робер Нивель, командует, Франция)  
(Фалькенгайн, противостоял, Робер Нивель)  
(Фалькенгайн, противостоял, Филипп Петен)  
(Фалькенгайн, противостоял, Конрад)  
(Конрад, противостоял, Италия)  
(Австрия, воевала с, Италия)  
(Германия, воевала с, Франция)  
(Германия, воевала с, Британия)  
(Германия, воевала с, Россия)  
(Франция, воевала с, Германия)  
(Британия, воевала с, Германия)  
(Россия, воевала с, Германия)  
(Германия, оккупировала, Франция)  
(Австрия, оккупировала, Италия)  
(Франция, вступила в войну, 1914-08-03)  
(Британия, вступила в войну, 1914-08-04)  
(Россия, вступила в войну, 1914-08-01)  
(Германия, вступила в войну, 1914-08-01)  
(Италия, вступила в войну, 1915-05-23)  
(Франция, подписала перемирие, Германия)  
(Австрия, подписала перемирие, Италия)

(Дуглас Хейг, командует, Великобритания)  
(Дуглас Хейг, предпочел бы наступать, Фландрия)  
(Дуглас Хейг, послал, артиллерийский специалист)  
(Дуглас Хейг, подготовился к новому удару, середина сентября)  
(Дуглас Хейг, не использовал, бронетехника)  
(Дуглас Хейг, продолжал, атаковать)  
(Герберт Джордж Уэллс, выдумал, танк)  
(Черчилль, проводил испытания, танк)  
(А.А. Брусилов, командует, Юго-Западный фронт)  
(А.А. Брусилов, воевал против, австрийцы)  
(Британцы, начали артобстрел, 24 июня)  
(Британцы, начали, сражение на Сомме)  
(Британцы, применяли, ползущий огневой вал)  
(Британцы, начали, сражение на Сомме)  
(Британцы, начали, артобстрел)  
(Британцы, начали, сражение на Сомме)  
(Британцы, начали, артобстрел)  
(Британцы, начали, сражение на Сомме)  
(Британцы, начали, артобстрел)  
(Британцы, начали, сражение на Сомме)  
(Британцы, начали, артобстрел)  
(Британцы, начали, сражение на Сомме)  
(Британцы, начали, артобстрел)  
(Британцы, начали, сражение на Сомме)  
(Британцы, начали, артобстрел)

(Алексей Брусилов, разработал, тактика борьбы с укрепленными опорными пунктами)  
(Эрцгерцог Иосиф Фердинанд, командует, Австро-Венгрия)  
(Карл фон Пфланцер-Балтин, командует, австрийская 7-я армия)  
(Гинденбург, командует, Австро-Венгрия)  
(Людендорф, командует, Австро-Венгрия)  
(Россия, вступила в войну, 1914-08-01)  
(Румыния, вступила в войну, 1916)  
(Франц Иосиф, умер в, Австрия)  
(Франц Иосиф, умер в, 1916-11-21)  
(Фалькенгайн, командует, 9-я армия)  
(Дэвид Ллойд Джордж, представляет, Британия)

(Вудро Вильсон, призывал, компромиссному миру)  
(Германия, объявила, неограниченную подводную войну)  
(Германия, потопила, Лузитания)  
(Соединенные Штаты, выразили, резкий протест)  
(Германия, объявила, морское пространство зоной поражения)  
(Хеннинг фон Хольцендорф, заявил, что он может топить каждый месяц шестьсот тысяч тонн судов)  
(Карл, возражал, тотальной подводной войне)  
(Бетман-Гольвег, не мог игнорировать, настроения военных)  
(Германия, объявила, готовность вести переговоры о мире)  
(Вудро Вильсон, предоставил, безопасные каналы связи)  
(Германия, сражалась, за германскую Европу)  
(Людендорф, являлся, реальным хозяином Германии)  
(Германия, объявила, морское пространство зоной поражения кораблей без предупреждения)  
(Хольцендорф, доказал, свою правоту)  
(Британия, чувствовала, себя бессильной)  
(Хольцендорф, внес, самый большой вклад в поражение Германии)  
(Американцы, пришли, на помощь)

(Эрнст Резерфорд, представляет, Новая Зеландия)  
(Соединенные Штаты, вступила в войну, 1917-04-06)  
(Соединенные Штаты, разорвала дипломатические отношения, Германия)  
(Артур Циммерман, послал, телеграмму)  
(Уильям Холл, скопировал, депешу)  
(Британия, субсидировала, Россия)  
(Робер Нивель, командует, Франция)  
(Дуглас Хейг, командует, Британия)  
(Робер Нивель, разработал, тактика взаимодействия всех родов войск и вооружений)  
(Робер Нивель, противостоял, Дуглас Хейг)  
(Британия, воевала с, Германия)  
(Франция, воевала с, Германия)  
(Германия, воевала с, Британия)  
(Германия, воевала с, Франция)  
(Германия, предложила, альянс с Мексикой)  
(Германия, предложила, альянс с Японией)  
(Британия, подписала перемирие, Германия)  
(Франция, подписала перемирие, Германия)  
(Соединенные Штаты, подписала перемирие, Германия)  
(Британия, заключила союз с, Франция)  
(Британия, заключила союз с, Соединенные Штаты)  
(Франция, заключила союз с, Соединенные Штаты)  
(Германия, оккупировала, Франция)  
(Германия, оккупировала, Бельгия)  
(Германия, разорвала дипломатические отношения, Соединенные Штаты)

(Филипп Петен, командует, Франция)  
(Филипп Петен, назначен, главнокомандующий)  
(Жорж Клемансо, представляет, Франция)  
(Россия, вступила в войну, 1914-08-01)  
(Россия, воевала с, Германия)  
(Россия, воевала с, Австро-Венгрия)  
(Россия, воевала с, Османская империя)  
(Россия, воевала с, Болгария)  
(Россия, заключила союз с, Франция)  
(Россия, заключила союз с, Великобритания)  
(Россия, заключила союз с, Италия)  
(Россия, заключила союз с, США)  
(Россия, разорвала дипломатические отношения, Германия)  
(Россия, разорвала дипломатические отношения, Австро-Венгрия)  
(Россия, разорвала дипломатические отношения, Османская империя)  
(Россия, разорвала дипломатические отношения, Болгария)  
(Россия, подписала перемирие, Германия)  
(Россия, подписала перемирие, Австро-Венгрия)  
(Россия, подписала перемирие, Османская империя)  
(Россия, подписала перемирие, Болгария)  
(Ленин, представляет, Россия)  
(Ленин, противостоял, Временное правительство)  
(Ленин, разработал, большевистская концепция)  
(Ленин, подписал, Брест-Литовский мир)  
(Франция, воевала с, Германия)

(Герберт Пламер, командует, 2-й армией)  
(Герберт Пламер, командовал, британскими войсками)  
(Герберт Пламер, противостоял, полковнику фон Лоссбергу)  
(Хьюберт Гоф, командует, 5-й армией)  
(Хьюберт Гоф, командовал, британскими войсками)  
(Хьюберт Гоф, противостоял, полковнику фон Лоссбергу)  
(полковник фон Лоссберг, противостоял, Герберту Пламеру)  
(полковник фон Лоссберг, противостоял, Хьюберту Гофу)  
(Британия, воевала с, Германия)  
(Британия, вступила в войну, 1914-08-04)  
(Германия, воевала с, Британия)  
(Германия, вступила в войну, 1914-08-01)

(Луиджи Кадорна, командует, Италия)  
(Отто фон Белов, командует, Германия)  
(Эрвин Роммель, представляет, Германия)  
(Фердинанд Шернер, представляет, Германия)  
(Пьетро Бадольо, командует, Италия)  
(Кадорна, противостоял, Капелло)  
(Италия, воевала с, Австро-Венгрия)  
(Италия, воевала с, Германия)  
(Италия, вступила в войну, 1915-05-23)  
(Италия, подписала перемирие, Австро-Венгрия)  
(Италия, подписала перемирие, Германия)  
(Италия, разорвала дипломатические отношения, Австро-Венгрия)  
(Италия, разорвала дипломатические отношения, Германия)  
(Италия, заключила союз с, Антанта)  
(Германия, заключила союз с, Австро-Венгрия)  
(Германия, воевала с, Италия)  
(Австро-Венгрия, воевала с, Италия)  
(Австро-Венгрия, заключила союз с, Германия)  
(Австро-Венгрия, подписала перемирие, Италия)  
(Австро-Венгрия, подписала перемирие, Антанта)  
(Австро-Венгрия, разорвала дипломатические отношения, Италия)  
(Австро-Венгрия, разорвала дипломатические отношения, Антанта)  
(Австро-Венгрия, оккупировала, Италия)  
(Германия, оккупировала, Италия)  
(Германия, разорвала дипломатические отношения, Италия)

(Эрнст Хемингуэй, разработал, Прощай, оружие)  
(Австрия, воевала с, Италия)  
(Германия, воевала с, Италия)  
(Италия, воевала с, Австрия)  
(Италия, воевала с, Германия)  
(Армандо Диац, командует, Италия)  
(Россия, вышла из войны, 1917-12-02)

(Троцкий, подписал, договор)
(Большевики, подписали, договор)
(Герман фон Эйхгорн, командует, Украина)
(Отто фон Лоссов, командует, Грузия)
(Германия, оккупировала, Украина)
(Германия, оккупировала, Грузия)
(Германия, оккупировала, Прибалтика)
(Германия, подписала, сепаратный мир с Украиной)
(Ллойд Джордж, противостоял, Рихард фон Кюльман)
(Ллойд Джордж, представляет, Британия)
(Рихард фон Кюльман, представляет, Германия)
(Пауль фон Хинце, представляет, Германия)
(Отто фон Белов, командует, германская армия)
(Георг фон де Марвиц, командует, германская армия)
(Оскар фон Гутьер, командует, германская армия)
(Людендорф, командует, германская армия)
(Гоф, командует, британская армия)
(Хейг, командует, британская армия)
(Германия, воевала с, Британия)
(Германия, воевала с, Франция)
(Германия, воевала с, Россия)
(Германия, заключила, сепаратный мир с Украиной)
(Германия, подписала перемирие, Россия)
(Брест-Литовск, место подписания, договор)
(Брест-Литовск, место подписания, сепаратный мир с Украиной)

(Гоф, командует, 5-й армией)
(Бинг, командует, 3-й армией)
(Фердинанд Фош, командовал, Гоф)
(Фердинанд Фош, представляет, Франция)
(Германия, воевала с, Великобритания)
(Германия, воевала с, Франция)
(Германия, воевала с, Португалия)
(Германия, воевала с, США)
(Германия, воевала с, Австро-Венгрия)
(Германия, воевала с, Россия)
(Германия, воевала с, Италия)
(Германия, воевала с, Бельгия)
(Германия, воевала с, Великобритания)
(Германия, воевала с, Франция)
(Германия, воевала с, Португалия)
(Германия, воевала с, США)
(Германия, воевала с, Австро-Венгрия)
(Германия, воевала с, Россия)
(Германия, воевала с, Италия)
(Германия, воевала с, Бельгия)
(Германия, воевала с, Великобритания)
(Германия, воевала с, Франция)
(Германия, воевала с, Португалия)
(Германия, воевала с, США)
(Германия, воевала с, Австро-Венгрия)

(Людендорф, командует, Германия)  
(Фош, командует, Франция)  
(Фош, противостоял, Людендорф)  
(Фош, разработал, тактика сдерживания)  
(Эжен Мари Дебени, разработал, Blitzkrieg)  
(Шарль Манжен, разработал, Blitzkrieg)  
(Генри Ролинсон, командует, Великобритания)  
(Джон Монаш, командует, Австралия)  
(Артур Карри, командует, Канада)  
(Германия, воевала с, Франция)  
(Германия, воевала с, Великобритания)  
(Германия, воевала с, США)  
(Германия, воевала с, Канада)  
(Германия, воевала с, Австралия)  
(Франция, воевала с, Германия)  
(Великобритания, воевала с, Германия)  
(США, воевала с, Германия)  
(Канада, воевала с, Германия)  
(Австралия, воевала с, Германия)  
(Франция, вступила в войну, 1914-08-03)  
(Великобритания, вступила в войну, 1914-08-04)  
(США, вступила в войну, 1917-04-06)  
(Германия, вступила в войну, 1914-08-01)  
(Франция, подписала перемирие, Германия)  
(Великобритания, подписала перемирие, Германия)

(Людендорф, противостоял, союзнические войска)  
(союзнические войска, разгромили, болгары)  
(болгары, подписала перемирие, союзнические войска)  
(Энвер-паша, разработал, план паши)  
(Османская армия, подписала перемирие, союзнические войска)  
(Австро-венгерское правительство, подписала перемирие, союзнические войска)  
(Генрих Ламмаш, представляет, Австро-Венгрия)  
(Вильсон, разработал, Четырнадцать пунктов)  
(Венгрия, разорвала дипломатические отношения, Австро-Венгрия)  
(Германия, оккупировала, Австрия)  
(Италия, воевала с, Австро-Венгрия)  
(Германия, оккупировала, Россия)  
(Германия, оккупировала, Турция)  
(Людендорф, противостоял, Вильсон)  
(Макс Баденский, представляет, Германия)  
(Людендорф, противостоял, Макс Баденский)  
(Людендорф, противостоял, кайзер)  
(Гинденбург, назначил, Адольф Гитлер)  
(Фердинанд Фош, место подписания, Компьенское перемирие)  
(Компьенское перемирие, дата подписания, 1918-11-11)  
(Германия, подписала перемирие, союзнические войска)  
(Германия, разорвала дипломатические отношения, кайзер)  
(Германия, подписала перемирие, Франция)  
(Германия, подписала перемирие, Великобритания)  
(Германия, подписала перемирие, США)

(Вильсон, подписал, Договор)
(Договор, дата подписания, 1919-06-28)
(Версаль, место подписания, Договор)
(Клемансо, противостоял, Ллойд Джордж)
(Клемансо, противостоял, Вильсон)
(Т.Э. Лоуренс, представляет, Великобритания)
(Султан, подписал, Договор)
(Севр, место подписания, Договор)
(Турция, подписала перемирие, Страна)
(Ллойд Джордж, предсказал, Катастрофические последствия)
(Гитлер, противостоял, Людендорф)
(Гитлер, разработал, Националистическая программа)
(Гитлер, противостоял, Евреи)
(Гитлер, противостоял, Левые)
(Гитлер, противостоял, Академики)
(Гитлер, противостоял, Ллойд Джордж)
(Гитлер, противостоял, Вильсон)
(Гитлер, противостоял, Клемансо)
(Гитлер, противостоял, Людендорф)
(Гитлер, противостоял, Ллойд Джордж)
(Гитлер, противостоял, Вильсон)
(Гитлер, противостоял, Клемансо)
(Гитлер, противостоял, Людендорф)
(Гитлер, противостоял, Ллойд Джордж)
(Гитлер, противостоял, Вильсон)

