(Brest-Litovsk, place of signing, Treaty of Brest-Litovsk)
(Russia, entered the war on, 1914)
(Vladimir Lenin, represents, Russia)

(British, fought with, Germans)
(Douglas Haig, commanded, British Army)
(United Kingdom, fought with, Austria-Hungary)
(Ypres, place of signing, Treaty of Versailles)

(Broodseinde, place of signing, Treaty)

(Haig, commands, British Army)
(Riga, place of signing, Treaty)

(Austria, fought with, Italy)
(Germany, fought with, Italy)
(Italy, fought with, Austria)
(Italy, fought with, Germany)
(Otto von Below, commanded, Rommel)
(Otto von Below, commanded, Schörner)
(Otto von Below, commands, Germany)
(Rommel, represents, Germany)
(Schörner, represents, Germany)

(Austria, fought with, Italy)
(Cadorna, represents, Italy)
(Erwin Rommel, commanded, Württemberg Mountain Battalion)
(Germany, fought with, Italy)

(Ernest Hemingway, wrote, Goodbye to Arms)
(Germany, fought with, Italy)
(Otto von Below, represents, Germany)

(Bolsheviks, signed, Treaty)
(Germany, fought with, Russia)
(Lloyd George, represents, Great Britain)



(Foch, represents, France)
(France, fought with, Germany)
(Germany, fought with, France)
(Germany, fought with, Great Britain)
(Great Britain, fought with, Germany)



(Foch, commands, France)
(France, entered the war on, 1914-08-03)
(France, fought with, Germany)
(French Army, developed, Blitzkrieg)
(Ludendorff, commands, Germany)
(Rawlinson, represents, Great Britain)
(USA, entered the war on, 1917-04-06)

(British Army, entered the war on, 1914-08-04)
(British Army, fought with, German Army)
(Ferdinand Foch, opposed, Erich Ludendorff)
(Germany, fought with, France)
(Germany, fought with, Great Britain)
(Germany, fought with, USA)



(Germany, signed armistice with, Allies)
(Hindenburg, appointed, Adolf Hitler)
(Ludendorff, introduced, Adolf Hitler)
(Matthias Erzberger, represents, Germany)
(Philipp Scheidemann, represents, Germany)
(Prince Max, represents, Germany)

(Lausanne, place of signing, Treaty of Lausanne)
(Treaty of Lausanne, signing date, 1923)
(Treaty of Sèvres, signing date, 1920)

(Adolf Hitler, opposed, Jews)
(Adolf Hitler, represents, Germany)
(Erich Ludendorff, opposed, Jews)

(E. L. Spears, represents, Great Britain)
(Winston Churchill, developed, World Crisis)





